#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Wed May 08 14:48:13 2019

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       cs161_processor_map.ncd
#OUTPUT FILE:      cs161_processor_pad.csv
#PART TYPE:        xc3s1200e
#SPEED GRADE:      -5
#PACKAGE:          ft256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
B9,,,GND,,,,,,,,,,,,
B10,reg1_data<25>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B11,write_reg_data<30>,IOB,IO_L05N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B12,,,VCCO_0,,,0,,,,,2.50,,,,
B13,reg2_data<24>,IOB,IO_L03P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B14,write_reg_addr<2>,IOB,IO_L01P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B15,,,TMS,,,,,,,,,,,,
B16,,IBUF,IP,UNUSED,,1,,,,,,,,,
C1,reg2_addr<4>,IOB,IO_L02P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C2,reg2_data<20>,IOB,IO_L02N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C3,reg1_addr<2>,IOB,IO_L19P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C4,reg2_addr<0>,IOB,IO_L18N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C5,reg1_addr<0>,IOB,IO_L18P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C6,reg2_data<14>,IOB,IO_L15P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C7,reg1_data<15>,IOB,IO_L13N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C8,reg1_data<10>,IOB,IO_L11P_0/GCLK10,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C9,,DIFFSI,IP_L07N_0,UNUSED,,0,,,,,,,,,
C10,,DIFFMI,IP_L07P_0,UNUSED,,0,,,,,,,,,
C11,instr_opcode<3>,IOB,IO_L05P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C12,,DIFFSI,IP_L02N_0,UNUSED,,0,,,,,,,,,
C13,rst,IBUF,IP,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C14,,,TDO,,,,,,,,,,,,
C15,,DIFFS,IO_L19N_1/LDC2,UNUSED,,1,,,,,,,,,
C16,write_reg_addr<4>,IOB,IO_L19P_1/LDC1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D1,reg2_data<12>,IOB,IO_L05P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D2,,IBUF,IP,UNUSED,,3,,,,,,,,,
D3,,,PROG_B,,,,,,,,,,,,
D4,,,VCCINT,,,,,,,,1.2,,,,
D5,,DIFFMI,IP_L16P_0,UNUSED,,0,,,,,,,,,
D6,reg2_data<23>,IOB,IO_L15N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D7,reg1_data<20>,IOB,IO_L14N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D8,reg1_data<18>,IOB,IO_L11N_0/GCLK11,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D9,reg1_data<28>,IOB,IO/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D10,write_reg_data<24>,IOB,IO_L06P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D11,write_reg_data<26>,IOB,IO_L04P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D12,,DIFFMI,IP_L02P_0,UNUSED,,0,,,,,,,,,
D13,,,VCCINT,,,,,,,,1.2,,,,
D14,reg1_data<12>,IOB,IO_L18N_1/LDC0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D15,reg1_data<24>,IOB,IO_L18P_1/HDC,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D16,,IBUF,IP/VREF_1,UNUSED,,1,,,,,,,,,
E1,reg1_data<31>,IOB,IO_L05N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E2,,,VCCO_3,,,3,,,,,2.50,,,,
E3,reg2_data<13>,IOB,IO_L03P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E4,reg2_data<27>,IOB,IO_L03N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E5,,,VCCINT,,,,,,,,1.2,,,,
E6,,DIFFSI,IP_L16N_0,UNUSED,,0,,,,,,,,,
E7,reg2_data<15>,IOB,IO_L14P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E8,write_reg_addr<1>,IOB,IO_L12P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E9,instr_opcode<2>,IOB,IO_L08P_0/GCLK4,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E10,write_reg_addr<3>,IOB,IO_L06N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E11,write_reg_data<28>,IOB,IO_L04N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E12,,,VCCINT,,,,,,,,1.2,,,,
E13,write_reg_data<13>,IOB,IO_L17P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E14,,IBUF,IP,UNUSED,,1,,,,,,,,,
E15,,,VCCO_1,,,1,,,,,2.50,,,,
E16,instr_opcode<0>,IOB,IO_L17N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F1,,,VCCAUX,,,,,,,,2.5,,,,
F2,,IBUF,IP,UNUSED,,3,,,,,,,,,
F3,reg1_data<21>,IOB,IO_L04P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F4,reg1_data<17>,IOB,IO_L04N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F5,,IBUF,IP,UNUSED,,3,,,,,,,,,
F6,,,GND,,,,,,,,,,,,
F7,,,VCCO_0,,,0,,,,,2.50,,,,
F8,write_reg_addr<0>,IOB,IO_L12N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F9,reg1_data<11>,IOB,IO_L08N_0/GCLK5,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F10,,,VCCO_0,,,0,,,,,2.50,,,,
F11,,,GND,,,,,,,,,,,,
F12,instr_opcode<1>,IOB,IO_L16N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F13,reg1_data<13>,IOB,IO_L16P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F14,write_reg_data<15>,IOB,IO_L15P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F15,write_reg_data<14>,IOB,IO_L15N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F16,,,VCCAUX,,,,,,,,2.5,,,,
G1,,IBUF,IP/VREF_3,UNUSED,,3,,,,,,,,,
G2,reg2_data<2>,IOB,IO_L07N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G3,reg2_data<19>,IOB,IO_L07P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G4,reg1_data<30>,IOB,IO_L06N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G5,instr_opcode<5>,IOB,IO_L06P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G6,,,VCCO_3,,,3,,,,,2.50,,,,
G7,,,GND,,,,,,,,,,,,
G8,,,GND,,,,,,,,,,,,
G9,,,GND,,,,,,,,,,,,
G10,,,GND,,,,,,,,,,,,
G11,,,VCCO_1,,,1,,,,,2.50,,,,
G12,,IBUF,IP,UNUSED,,1,,,,,,,,,
G13,reg1_data<3>,IOB,IO_L14P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G14,write_reg_data<19>,IOB,IO_L14N_1/A0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G15,reg1_data<1>,IOB,IO_L13P_1/A2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G16,write_reg_data<25>,IOB,IO_L13N_1/A1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H1,,IBUF,IP,UNUSED,,3,,,,,,,,,
H2,,,GND,,,,,,,,,,,,
H3,reg2_data<30>,IOB,IO_L09P_3/LHCLK2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H4,reg2_data<31>,IOB,IO_L09N_3/LHCLK3/IRDY2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H5,reg1_data<16>,IOB,IO_L08P_3/LHCLK0,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H6,reg2_data<21>,IOB,IO_L08N_3/LHCLK1,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H7,,,GND,,,,,,,,,,,,
H8,,,GND,,,,,,,,,,,,
H9,,,GND,,,,,,,,,,,,
H10,,,GND,,,,,,,,,,,,
H11,write_reg_data<22>,IOB,IO_L12N_1/A3/RHCLK7,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H12,write_reg_data<31>,IOB,IO_L12P_1/A4/RHCLK6,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H13,,IBUF,IP/VREF_1,UNUSED,,1,,,,,,,,,
H14,write_reg_data<17>,IOB,IO_L11N_1/A5/RHCLK5,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H15,write_reg_data<29>,IOB,IO_L11P_1/A6/RHCLK4/IRDY1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H16,,IBUF,IP,UNUSED,,1,,,,,,,,,
J1,reg1_data<26>,IOB,IO_L12P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J2,reg2_data<7>,IOB,IO_L10P_3/LHCLK4/TRDY2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J3,reg1_data<27>,IOB,IO_L10N_3/LHCLK5,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J4,reg2_data<5>,IOB,IO_L11N_3/LHCLK7,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J5,reg2_data<3>,IOB,IO_L11P_3/LHCLK6,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J6,,IBUF,IP,UNUSED,,3,,,,,,,,,
J7,,,GND,,,,,,,,,,,,
J8,,,GND,,,,,,,,,,,,
J9,,,GND,,,,,,,,,,,,
J10,,,GND,,,,,,,,,,,,
J11,,IBUF,IP,UNUSED,,1,,,,,,,,,
J12,,IBUF,IP,UNUSED,,1,,,,,,,,,
J13,write_reg_data<6>,IOB,IO_L10N_1/A7/RHCLK3/TRDY1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J14,write_reg_data<20>,IOB,IO_L10P_1/A8/RHCLK2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J15,,,GND,,,,,,,,,,,,
J16,write_reg_data<0>,IOB,IO_L09N_1/A9/RHCLK1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K1,reg2_data<0>,IOB,IO_L12N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K2,reg2_data<17>,IOB,IO_L13P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K3,reg2_data<16>,IOB,IO_L13N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K4,,IBUF,IP,UNUSED,,3,,,,,,,,,
K5,reg2_data<1>,IOB,IO_L15P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K6,,,VCCO_3,,,3,,,,,2.50,,,,
K7,,,GND,,,,,,,,,,,,
K8,,,GND,,,,,,,,,,,,
K9,,,GND,,,,,,,,,,,,
K10,,,GND,,,,,,,,,,,,
K11,,,VCCO_1,,,1,,,,,2.50,,,,
K12,write_reg_data<23>,IOB,IO_L07N_1/A11,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K13,reg1_data<6>,IOB,IO_L07P_1/A12,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K14,write_reg_data<7>,IOB,IO_L08N_1/VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K15,reg1_data<7>,IOB,IO_L08P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K16,write_reg_data<16>,IOB,IO_L09P_1/A10/RHCLK0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L1,,,VCCAUX,,,,,,,,2.5,,,,
L2,reg2_data<18>,IOB,IO_L14N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L3,reg2_data<6>,IOB,IO_L14P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L4,prog_count<10>,IOB,IO_L17N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L5,reg2_data<8>,IOB,IO_L15N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L6,,,GND,,,,,,,,,,,,
L7,,,VCCO_2,,,2,,,,,2.50,,,,
L8,prog_count<15>,IOB,IO_L09N_2/D6/GCLK13,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L9,prog_count<22>,IOB,IO_L13P_2/M0,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L10,,,VCCO_2,,,2,,,,,2.50,,,,
L11,,,GND,,,,,,,,,,,,
L12,reg1_data<8>,IOB,IO_L05P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L13,write_reg_data<9>,IOB,IO_L05N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L14,write_reg_data<10>,IOB,IO_L06P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L15,write_reg_data<21>,IOB,IO_L06N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L16,,,VCCAUX,,,,,,,,2.5,,,,
M1,reg1_data<19>,IOB,IO_L16P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M2,,,VCCO_3,,,3,,,,,2.50,,,,
M3,,IBUF,IP,UNUSED,,3,,,,,,,,,
M4,reg2_data<9>,IOB,IO_L17P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M5,,,VCCINT,,,,,,,,1.2,,,,
M6,prog_count<20>,IOB,IO_L05P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M7,prog_count<9>,IOB,IO,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M8,prog_count<14>,IOB,IO_L09P_2/D7/GCLK12,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M9,prog_count<23>,IOB,IO_L13N_2/DIN/D0,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M10,prog_count<24>,IOB,IO_L15N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M11,,DIFFSI,IP_L17N_2,UNUSED,,2,,,,,,,,,
M12,,,VCCINT,,,,,,,,1.2,,,,
M13,,IBUF,IP,UNUSED,,1,,,,,,,,,
M14,,IBUF,IP,UNUSED,,1,,,,,,,,,
M15,,,VCCO_1,,,1,,,,,2.50,,,,
M16,reg1_data<0>,IOB,IO_L04N_1/VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N1,reg2_data<4>,IOB,IO_L16N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N2,,IBUF,IP/VREF_3,UNUSED,,3,,,,,,,,,
N3,,IBUF,IP,UNUSED,,3,,,,,,,,,
N4,,,VCCINT,,,,,,,,1.2,,,,
N5,prog_count<3>,IOB,IO_L03N_2/MOSI/CSI_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N6,prog_count<8>,IOB,IO_L05N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N7,prog_count<12>,IOB,IO_L07P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N8,prog_count<17>,IOB,IO_L10P_2/D4/GCLK14,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N9,prog_count<21>,IOB,IO_L12N_2/D1/GCLK3,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N10,prog_count<26>,IOB,IO_L15P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N11,,DIFFMI,IP_L17P_2,UNUSED,,2,,,,,,,,,
N12,reg1_data<2>,IOB,IO_L18N_2/A20,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N13,,,VCCINT,,,,,,,,1.2,,,,
N14,write_reg_data<4>,IOB,IO_L03P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N15,write_reg_data<5>,IOB,IO_L03N_1/VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N16,reg1_data<9>,IOB,IO_L04P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P1,reg2_data<10>,IOB,IO_L18N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P2,reg2_addr<3>,IOB,IO_L18P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P3,prog_count<2>,IOB,IO_L01P_2/CSO_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P4,prog_count<1>,IOB,IO_L01N_2/INIT_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P5,prog_count<4>,IOB,IO_L03P_2/DOUT/BUSY,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P6,prog_count<7>,IOB,IO_L06N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P7,prog_count<13>,IOB,IO_L07N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P8,prog_count<18>,IOB,IO_L10N_2/D3/GCLK15,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P9,prog_count<19>,IOB,IO_L12P_2/D2/GCLK2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P10,write_reg_data<8>,IOB,IO_L14P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P11,prog_count<27>,IOB,IO_L16N_2/A22,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P12,prog_count<31>,IOB,IO_L18P_2/A21,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P13,prog_count<29>,IOB,IO/VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P14,write_reg_data<12>,IOB,IO_L20P_2/VS0/A17,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P15,write_reg_data<2>,IOB,IO_L02N_1/A13,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P16,reg1_data<5>,IOB,IO_L02P_1/A14,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R1,prog_count<0>,IOB,IO_L19N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R2,reg2_addr<1>,IOB,IO_L19P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R3,,DIFFSI,IP_L02N_2,UNUSED,,2,,,,,,,,,
R4,prog_count<5>,IOB,IO/VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R5,,,VCCO_2,,,2,,,,,2.50,,,,
R6,reg2_addr<2>,IOB,IO_L06P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R7,,DIFFMI,IP_L08P_2,UNUSED,,2,,,,,,,,,
R8,,,GND,,,,,,,,,,,,
R9,,DIFFSI,IP_L11N_2/M2/GCLK1,UNUSED,,2,,,,,,,,,
R10,prog_count<25>,IOB,IO_L14N_2/VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
